,pred,actual,pred_load,error,abs_error,ext_error,hour,slot,month
2025-03-01 00:00:00,59657.58798099351,59414.29,59656.8,243.29798099350592,243.29798099350592,242.51000000000204,0,0,3
2025-03-01 00:15:00,59561.003927758735,58968.27,59292.37,592.733927758738,592.733927758738,324.1000000000058,0,1,3
2025-03-01 00:30:00,58989.652371002514,58525.63,58927.94,464.0223710025166,464.0223710025166,402.31000000000495,0,2,3
2025-03-01 00:45:00,58714.98444646977,58060.63,58636.39,654.3544464697698,654.3544464697698,575.760000000002,0,3,3
2025-03-01 01:00:00,58448.108244555915,57807.61,58344.85,640.4982445559144,640.4982445559144,537.239999999998,1,4,3
2025-03-01 01:15:00,57960.300744047374,57510.25,57834.64,450.0507440473739,450.0507440473739,324.3899999999994,1,5,3
2025-03-01 01:30:00,57899.02813991149,57088.57,57688.87,810.4581399114904,810.4581399114904,600.3000000000029,1,6,3
2025-03-01 01:45:00,57896.257841564046,57012.14,57688.87,884.1178415640461,884.1178415640461,676.7300000000032,1,7,3
2025-03-01 02:00:00,58393.944702826775,57288.34,58271.96,1105.6047028267785,1105.6047028267785,983.6200000000026,2,8,3
2025-03-01 02:15:00,58168.304822778184,56840.73,58053.3,1327.5748227781805,1327.5748227781805,1212.5699999999997,2,9,3
2025-03-01 02:30:00,58073.52464340428,56656.73,57916.86,1416.7946434042751,1416.7946434042751,1260.1299999999974,2,10,3
2025-03-01 02:45:00,57879.87553643339,56410.88,57677.4,1468.9955364333946,1468.9955364333946,1266.520000000004,2,11,3
2025-03-01 03:00:00,57627.96414284498,56010.8,57397.33,1617.1641428449802,1617.1641428449802,1386.5299999999988,3,12,3
2025-03-01 03:15:00,57562.22576932983,56319.82,57225.5,1242.405769329831,1242.405769329831,905.6800000000003,3,13,3
2025-03-01 03:30:00,57474.052168677474,56105.98,57134.69,1368.0721686774705,1368.0721686774705,1028.7099999999991,3,14,3
2025-03-01 03:45:00,57474.052168677474,56087.09,57108.43,1386.9621686774772,1386.9621686774772,1021.3400000000038,3,15,3
2025-03-01 04:00:00,57505.71759900577,56251.57,57214.98,1254.1475990057734,1254.1475990057734,963.4100000000035,4,16,3
2025-03-01 04:15:00,57560.488401566516,56440.06,57257.18,1120.428401566518,1120.428401566518,817.1200000000026,4,17,3
2025-03-01 04:30:00,57882.1585488946,56490.59,57545.26,1391.5685488946037,1391.5685488946037,1054.6700000000055,4,18,3
2025-03-01 04:45:00,58000.136875709926,56649.45,57676.68,1350.6868757099292,1350.6868757099292,1027.2300000000032,4,19,3
2025-03-01 05:00:00,58659.08198402327,57476.61,58486.08,1182.471984023272,1182.471984023272,1009.4700000000012,5,20,3
2025-03-01 05:15:00,58832.62019346621,57959.42,58814.38,873.2001934662112,873.2001934662112,854.9599999999991,5,21,3
2025-03-01 05:30:00,59848.84974948335,58600.47,59725.18,1248.3797494833489,1248.3797494833489,1124.7099999999991,5,22,3
2025-03-01 05:45:00,60390.99402778301,58757.82,60380.46,1633.1740277830104,1633.1740277830104,1622.6399999999994,5,23,3
2025-03-01 06:00:00,61269.3971771466,60067.59,61179.77,1201.8071771466057,1201.8071771466057,1112.1800000000003,6,24,3
2025-03-01 06:15:00,62232.62346755396,60854.59,62340.29,1378.0334675539634,1378.0334675539634,1485.7000000000044,6,25,3
2025-03-01 06:30:00,63261.31996158562,62276.07,63464.18,985.2499615856213,985.2499615856213,1188.1100000000006,6,26,3
2025-03-01 06:45:00,64170.07322748193,63015.52,64518.5,1154.5532274819343,1154.5532274819343,1502.9800000000032,6,27,3
2025-03-01 07:00:00,65430.40545850323,65124.17,65876.7,306.2354585032299,306.2354585032299,752.5299999999988,7,28,3
2025-03-01 07:15:00,67331.85576577089,67070.29,67838.77,261.56576577089436,261.56576577089436,768.4800000000105,7,29,3
2025-03-01 07:30:00,69043.52740724079,68840.86,69835.2,202.66740724079136,202.66740724079136,994.3399999999965,7,30,3
