,gain
pred_load,49637282769710.6953
pred_load_lag_96,6719704840301.7715
pred_load_diff_96,899968706386.4515
pred_load_lag_192,831870069244.4739
pred_load_vs_mean_672,160849724211.4110
pred_load_roll_mean_96,159315115861.7742
pl_x_temp,129468124992.0641
pred_load_lag_288,118355087722.5830
dayofyear,115936155789.6352
doy_cos,115910879390.1525
irrad_range,114855830194.4935
pl_wr_roll_std_672,97922177129.4327
pl_wr_x_is_daytime,96112179841.3237
pl_wr_diff_96,94546322788.4924
pred_load_roll_mean_672,94373515649.5247
pred_load_roll_std_96,89209922791.5806
doy_sin,81568948296.7974
pl_x_cloud_deficit,78453054066.7841
pl_wr_roll_mean_672,78140212321.6865
pl_dip_x_clear_sky,74617978577.5056
pl_wr_x_hour,72605460701.0021
pl_x_month,71893265479.2860
plnorm_x_temp,70655564529.6272
pred_load_diff_672,69755051827.1996
pl_wr_diff_672,67968233778.7775
