,mean_abs_shap
pred_load,2624.0431
pred_load_lag_96,377.6764
pred_load_diff_96,168.5476
irrad_range,114.4439
mod_cos,83.4009
pred_load_lag_192,72.8612
hour_cos,65.4363
pl_x_hour,63.8335
pl_x_irrad_anom,55.3956
pred_load_lag_672,48.5776
pred_load_roll_std_96,47.6366
pred_load_roll_mean_96,46.3323
cloud_deficit,45.8962
pl_x_cloud_deficit,44.2450
doy_sin,40.3748
w_光伏_辐照度_p25,39.6521
doy_cos,35.8653
clear_sky,33.5190
pl_x_clearness,32.1686
pred_load_vs_mean_672,32.0365
clearness,29.6849
is_day_before_holiday,28.6264
pl_wr_roll_std_672,28.6078
temp_std,27.8500
pl_dip_x_clear_sky,26.4067
