折,variant,MAE,mid_MAE,hi_MAE,R2,Bias
春25,baseline,2009.8635864521777,4183.6063866694385,5304.313496574626,-0.7203623227702629,-1163.3994560109802
春25,+FB,1839.1763569898571,3963.903323788156,5557.545355652437,-0.47682403178689836,-909.3590860150913
春25,+IC,1981.860003822999,3917.207246074463,5242.385833236293,-0.6309450950638043,-1155.5374313889895
春25,+FB+IC,1824.069772522573,3693.440279920153,5614.2048813801475,-0.4067755772456907,-946.7340436096625
秋25,baseline,1649.1484095758306,3161.668665330754,6802.744612621501,0.09150445528567386,347.0641498368853
秋25,+FB,1674.1871354098791,3156.7728612890596,6774.247353048248,0.0814066224709642,572.8023520566235
秋25,+IC,1630.11046399993,3144.8455402229993,6352.98842420856,0.12034123202214586,426.78031682393754
秋25,+FB+IC,1654.9540282998182,3168.585981159231,6462.604180843632,0.12284098857741654,530.5325954941417
冬26,baseline,2896.562758549617,6423.1463419668335,12291.501235252897,-3.803892890948724,1260.8526257703222
冬26,+FB,2751.1831726173345,5999.704718482009,11757.630002100906,-3.251151514032556,1364.7408340934628
冬26,+IC,2926.1946892180927,6723.07042549864,12334.7616791298,-3.9529903389635823,1164.1175670552348
冬26,+FB+IC,2850.8189307879843,6483.9276493869975,11869.648370039735,-3.3805876677110662,1189.5356086647537
官方val26,baseline,1541.396121825901,3004.908205475167,6318.868619576198,0.13522714697961813,448.11053300364455
官方val26,+FB,1647.5054034035898,3209.8603200706275,6631.010528964067,0.054924888191457355,272.1503716741666
官方val26,+IC,1622.8954163977169,3150.857280784605,6366.135634361391,0.05491866300752768,444.0050290001962
官方val26,+FB+IC,1666.1138926762578,3311.0340723078707,6768.584418402621,0.006710590745591549,316.94377355702136
